record_id,timestamp,username,ip_address,login_status,failed_success_ratio,login_frequency,send_time,receive_time,delay_ms
1,2026-06-14 16:37:51,sy,100.88.89.12,Failed,1.00,1,16:37:51.626,16:37:51.710,84
2,2026-06-14 16:37:55,sy,100.65.202.109,Failed,2.00,2,16:37:55.671,16:37:55.755,84
3,2026-06-14 16:37:56,sy,100.88.89.12,Failed,3.00,3,16:37:56.205,16:37:56.264,59
4,2026-06-14 16:37:56,sy,100.65.202.109,Failed,4.00,4,16:37:56.193,16:37:56.265,72
5,2026-06-14 16:38:00,sy,100.88.89.12,Failed,5.00,5,16:38:00.423,16:38:00.467,44
6,2026-06-14 16:38:18,sy,100.65.202.109,Failed,6.00,6,16:38:18.716,16:38:18.800,84
7,2026-06-14 16:38:18,sy,100.88.89.12,Failed,7.00,7,16:38:18.738,16:38:18.800,62
8,2026-06-14 16:38:19,sy,100.65.202.109,Failed,8.00,8,16:38:19.264,16:38:19.305,41
9,2026-06-14 16:38:22,sy,100.88.89.12,Failed,9.00,9,16:38:22.843,16:38:22.929,86
10,2026-06-14 16:38:23,sy,100.65.202.109,Failed,10.00,10,16:38:23.902,16:38:23.944,42
11,2026-06-14 16:38:24,sy,100.65.202.109,Failed,11.00,11,16:38:24.415,16:38:24.471,56
12,2026-06-14 16:38:27,sy,100.88.89.12,Failed,12.00,12,16:38:27.427,16:38:27.494,67
13,2026-06-14 16:38:29,sy,100.65.202.109,Failed,13.00,13,16:38:29.445,16:38:29.506,61
14,2026-06-14 16:38:33,sy,100.65.202.109,Failed,14.00,14,16:38:33.570,16:38:33.627,57
15,2026-06-14 16:38:35,sy,100.88.89.12,Failed,15.00,15,16:38:35.076,16:38:35.137,61
16,2026-06-14 16:38:44,sy,100.88.89.12,Failed,16.00,16,16:38:44.358,16:38:44.444,86
17,2026-06-14 16:38:44,sy,100.65.202.109,Failed,17.00,17,16:38:44.383,16:38:44.445,62
18,2026-06-14 16:38:44,sy,100.65.202.109,Failed,18.00,18,16:38:44.906,16:38:44.948,42
19,2026-06-14 16:38:47,sy,100.65.202.109,Failed,19.00,19,16:38:47.618,16:38:47.685,67
20,2026-06-14 16:38:48,sy,100.65.202.109,Failed,20.00,20,16:38:48.146,16:38:48.190,44
21,2026-06-14 16:38:51,sy,100.88.89.12,Failed,21.00,21,16:38:51.126,16:38:51.210,84
22,2026-06-14 16:38:51,sy,100.65.202.109,Failed,22.00,22,16:38:51.134,16:38:51.224,90
23,2026-06-14 16:38:51,sy,100.65.202.109,Failed,23.00,23,16:38:51.659,16:38:51.733,74
