frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,frame.len
1781429863.729578336,192.168.1.12,192.168.1.132,53798,22,92,148
1781429863.745146111,192.168.1.132,192.168.1.12,22,53798,220,276
1781429863.758080921,192.168.1.132,192.168.1.12,22,53798,100,156
1781429863.762229139,192.168.1.12,192.168.1.132,53798,22,0,62
1781429863.807886472,192.168.1.12,192.168.1.132,53798,22,220,276
1781429863.824529837,192.168.1.132,192.168.1.12,22,53798,100,156
1781429863.867691361,192.168.1.12,192.168.1.132,53798,22,0,62
1781429864.223314995,192.168.1.132,192.168.1.12,22,53798,36,92
1781429864.261805789,192.168.1.132,192.168.1.12,22,53798,100,156
1781429864.264451483,192.168.1.12,192.168.1.132,53798,22,0,62
1781429864.319766775,192.168.1.12,192.168.1.132,53798,22,92,148
1781429864.334185154,192.168.1.132,192.168.1.12,22,53798,100,156
1781429864.376611745,192.168.1.12,192.168.1.132,53798,22,0,62
1781429864.658066547,192.168.1.12,192.168.1.132,53798,22,84,140
1781429864.680147779,192.168.1.12,192.168.1.132,53798,22,84,140
1781429864.682027887,192.168.1.132,192.168.1.12,22,53798,0,56
1781429864.750506003,192.168.1.132,192.168.1.12,22,53798,100,156
1781429864.795166162,192.168.1.12,192.168.1.132,53798,22,0,62
1781429864.809086852,192.168.1.12,192.168.1.132,53798,22,100,156
1781429864.827947506,192.168.1.132,192.168.1.12,22,53798,100,156
1781429864.876001656,192.168.1.12,192.168.1.132,53798,22,0,62
1781429865.289467874,192.168.1.132,192.168.1.12,22,53798,92,148
1781429865.333767689,192.168.1.12,192.168.1.132,53798,22,0,62
1781429865.349490077,192.168.1.12,192.168.1.132,53798,22,92,148
1781429865.367227367,192.168.1.132,192.168.1.12,22,53798,100,156
1781429865.409024237,192.168.1.12,192.168.1.132,53798,22,0,62
1781429865.435165316,100.88.89.12,100.75.21.72,55630,22,0,68
1781429865.436127683,100.75.21.72,100.88.89.12,22,55630,0,68
1781429865.558665277,100.88.89.12,100.75.21.72,55630,22,0,56
1781429865.560190482,100.88.89.12,100.75.21.72,55630,22,33,89
1781429865.560244866,100.75.21.72,100.88.89.12,22,55630,0,56
1781429865.673075779,100.75.21.72,100.88.89.12,22,55630,42,98
1781429865.827257051,100.88.89.12,100.75.21.72,55630,22,1240,1296
1781429865.829105364,100.75.21.72,100.88.89.12,22,55630,1112,1168
1781429865.831786304,100.88.89.12,100.75.21.72,55630,22,192,248
1781429865.842090560,192.168.1.132,192.168.1.12,22,53798,92,148
1781429865.884545298,192.168.1.12,192.168.1.132,53798,22,0,62
1781429865.897336535,100.75.21.72,100.88.89.12,22,55630,0,56
1781429865.901797530,192.168.1.12,192.168.1.132,53798,22,92,148
1781429865.916061007,192.168.1.132,192.168.1.12,22,53798,100,156
1781429865.958793789,192.168.1.12,192.168.1.132,53798,22,0,62
1781429865.996144022,100.88.89.12,100.75.21.72,55630,22,0,56
1781429866.026182533,100.88.89.12,100.75.21.72,55630,22,48,104
1781429866.033574030,100.75.21.72,100.88.89.12,22,55630,0,56
1781429866.055288936,100.75.21.72,100.88.89.12,22,55630,524,580
1781429866.109703403,192.168.1.132,192.168.1.12,22,53798,84,140
1781429866.152935726,192.168.1.12,192.168.1.132,53798,22,0,62
1781429866.185784279,100.88.89.12,100.75.21.72,55630,22,16,72
1781429866.227025593,100.75.21.72,100.88.89.12,22,55630,0,56
1781429866.353939827,100.88.89.12,100.75.21.72,55630,22,44,100
1781429866.360574908,100.75.21.72,100.88.89.12,22,55630,0,56
1781429866.360853433,100.75.21.72,100.88.89.12,22,55630,44,100
1781429866.377201442,192.168.1.132,192.168.1.12,22,53798,92,148
1781429866.419726960,192.168.1.12,192.168.1.132,53798,22,0,62
1781429866.435942592,192.168.1.12,192.168.1.132,53798,22,100,156
1781429866.445342621,192.168.1.132,192.168.1.12,22,53798,100,156
1781429866.491137477,192.168.1.12,192.168.1.132,53798,22,0,62
1781429866.493080949,100.88.89.12,100.75.21.72,55630,22,60,116
1781429866.519284722,100.75.21.72,100.88.89.12,22,55630,52,108
1781429866.653870768,192.168.1.12,192.168.1.132,53798,22,92,148
1781429866.662166226,192.168.1.132,192.168.1.12,22,53798,100,156
1781429866.694006339,100.88.89.12,100.75.21.72,55630,22,0,56
1781429866.704825392,192.168.1.12,192.168.1.132,53798,22,0,62
1781429866.867780580,192.168.1.132,192.168.1.12,22,53798,92,148
1781429866.908825177,192.168.1.12,192.168.1.132,53798,22,0,62
1781429866.927790866,192.168.1.12,192.168.1.132,53798,22,92,148
1781429866.937656710,192.168.1.132,192.168.1.12,22,53798,100,156
1781429866.979583095,192.168.1.12,192.168.1.132,53798,22,0,62
1781429867.382002990,192.168.1.132,192.168.1.12,22,53798,92,148
1781429867.424221971,192.168.1.12,192.168.1.132,53798,22,0,62
1781429867.438915766,192.168.1.12,192.168.1.132,53798,22,100,156
1781429867.449945299,192.168.1.132,192.168.1.12,22,53798,100,156
1781429867.455210833,192.168.1.132,192.168.1.12,22,53798,92,148
1781429867.456990946,192.168.1.12,192.168.1.132,53798,22,0,62
1781429867.459902339,192.168.1.12,192.168.1.132,53798,22,100,156
1781429867.475017171,192.168.1.132,192.168.1.12,22,53798,100,156
1781429867.518006544,192.168.1.12,192.168.1.132,53798,22,0,62
1781429867.655168208,192.168.1.12,192.168.1.132,53798,22,92,148
1781429867.664429187,192.168.1.132,192.168.1.12,22,53798,100,156
1781429867.706494579,192.168.1.12,192.168.1.132,53798,22,0,62
1781429867.897444207,192.168.1.132,192.168.1.12,22,53798,92,148
1781429867.940124284,192.168.1.12,192.168.1.132,53798,22,0,62
1781429867.954510985,192.168.1.12,192.168.1.132,53798,22,92,148
1781429867.968404129,192.168.1.132,192.168.1.12,22,53798,100,156
1781429867.984477168,192.168.1.132,192.168.1.12,22,53798,92,148
1781429867.986970061,192.168.1.12,192.168.1.132,53798,22,0,62
1781429868.421811704,192.168.1.132,192.168.1.12,22,53798,92,148
1781429868.463615118,192.168.1.12,192.168.1.132,53798,22,0,62
1781429868.477399033,192.168.1.12,192.168.1.132,53798,22,92,148
1781429868.486546205,192.168.1.132,192.168.1.12,22,53798,100,156
1781429868.527802001,192.168.1.12,192.168.1.132,53798,22,0,62
1781429868.957081014,192.168.1.132,192.168.1.12,22,53798,92,148
1781429868.998986953,100.65.202.109,100.75.21.72,54275,22,0,68
1781429868.999085649,192.168.1.12,192.168.1.132,53798,22,0,62
1781429869.000796640,100.75.21.72,100.65.202.109,22,54275,0,68
1781429869.013502658,192.168.1.12,192.168.1.132,53798,22,92,148
1781429869.021167746,192.168.1.132,192.168.1.12,22,53798,100,156
1781429869.050684518,100.88.89.12,100.75.21.72,55630,22,84,140
1781429869.066636323,192.168.1.12,192.168.1.132,53798,22,0,62
1781429869.112847766,100.75.21.72,100.88.89.12,22,55630,0,56
1781429869.115615765,100.65.202.109,100.75.21.72,54275,22,0,56
1781429869.154058308,100.65.202.109,100.75.21.72,54275,22,21,77
1781429869.154122941,100.75.21.72,100.65.202.109,22,54275,0,56
1781429869.186818157,100.75.21.72,100.65.202.109,22,54275,42,98
1781429869.315857366,100.65.202.109,100.75.21.72,54275,22,1240,1296
1781429869.315972414,100.75.21.72,100.65.202.109,22,54275,1112,1168
1781429869.320561251,100.65.202.109,100.75.21.72,54275,22,296,352
1781429869.410309633,100.75.21.72,100.65.202.109,22,54275,0,56
1781429869.482445671,100.65.202.109,100.75.21.72,54275,22,0,56
1781429869.528982749,192.168.1.132,192.168.1.12,22,53798,100,156
1781429869.531055911,100.65.202.109,100.75.21.72,54275,22,1208,1264
1781429869.531135182,100.75.21.72,100.65.202.109,22,54275,0,56
1781429869.576055370,192.168.1.12,192.168.1.132,53798,22,0,62
1781429869.581509720,100.75.21.72,100.65.202.109,22,54275,1564,1620
1781429869.585116097,192.168.1.12,192.168.1.132,53798,22,100,156
1781429869.596983717,192.168.1.132,192.168.1.12,22,53798,100,156
1781429869.640856716,192.168.1.12,192.168.1.132,53798,22,0,62
1781429869.658559503,192.168.1.12,192.168.1.132,53798,22,84,140
1781429869.678815525,192.168.1.12,192.168.1.132,53798,22,84,140
1781429869.680203127,192.168.1.132,192.168.1.12,22,53798,0,56
1781429869.702563491,100.65.202.109,100.75.21.72,54275,22,0,56
1781429869.724643610,100.65.202.109,100.75.21.72,54275,22,16,72
1781429869.724732767,100.75.21.72,100.65.202.109,22,54275,0,56
1781429869.851275441,100.65.202.109,100.75.21.72,54275,22,44,100
1781429869.851330992,100.75.21.72,100.65.202.109,22,54275,0,56
1781429869.852833305,100.75.21.72,100.65.202.109,22,54275,44,100
1781429869.985983448,100.65.202.109,100.75.21.72,54275,22,60,116
1781429870.013079419,100.75.21.72,100.65.202.109,22,54275,52,108
1781429870.014552558,192.168.1.132,192.168.1.12,22,53798,92,148
1781429870.056170548,192.168.1.12,192.168.1.132,53798,22,0,62
1781429870.072066035,192.168.1.12,192.168.1.132,53798,22,92,148
1781429870.085370084,192.168.1.132,192.168.1.12,22,53798,100,156
1781429870.128060561,192.168.1.12,192.168.1.132,53798,22,0,62
1781429870.134135300,100.65.202.109,100.75.21.72,54275,22,620,676
1781429870.148397714,100.75.21.72,100.65.202.109,22,54275,52,108
1781429870.275040089,100.65.202.109,100.75.21.72,54275,22,140,196
1781429870.283194227,100.75.21.72,100.65.202.109,22,54275,52,108
1781429870.458852653,100.65.202.109,100.75.21.72,54275,22,0,56
1781429870.581732622,192.168.1.132,192.168.1.12,22,53798,92,148
1781429870.623530739,192.168.1.12,192.168.1.132,53798,22,0,62
1781429870.640148709,192.168.1.12,192.168.1.132,53798,22,92,148
1781429870.641201413,192.168.1.132,192.168.1.12,22,53798,92,148
1781429870.647938828,192.168.1.12,192.168.1.132,53798,22,92,148
1781429870.653897229,192.168.1.12,192.168.1.132,53798,22,92,148
1781429870.654178929,192.168.1.132,192.168.1.12,22,53798,100,156
1781429870.660878163,192.168.1.132,192.168.1.12,22,53798,100,156
1781429870.663106545,192.168.1.12,192.168.1.132,53798,22,0,62
1781429870.702164526,192.168.1.132,192.168.1.12,22,53798,100,156
1781429870.743377003,192.168.1.12,192.168.1.132,53798,22,0,62
1781429871.093993033,192.168.1.132,192.168.1.12,22,53798,100,156
1781429871.111312134,192.168.1.132,192.168.1.12,22,53798,84,140
1781429871.116137550,192.168.1.12,192.168.1.132,53798,22,0,62
1781429871.151003250,192.168.1.12,192.168.1.132,53798,22,92,148
1781429871.163168023,192.168.1.132,192.168.1.12,22,53798,100,156
1781429871.205193766,192.168.1.12,192.168.1.132,53798,22,0,62
1781429871.367229105,100.65.202.109,100.75.21.72,54275,22,84,140
1781429871.381946504,100.75.21.72,100.65.202.109,22,54275,52,108
1781429871.539693076,100.65.202.109,100.75.21.72,54275,22,0,56
1781429871.634398156,192.168.1.132,192.168.1.12,22,53798,92,148
1781429871.655880396,192.168.1.12,192.168.1.132,53798,22,92,148
1781429871.672679557,192.168.1.132,192.168.1.12,22,53798,100,156
1781429871.689666304,192.168.1.12,192.168.1.132,53798,22,92,148
1781429871.700213443,192.168.1.132,192.168.1.12,22,53798,100,156
1781429871.742871330,192.168.1.12,192.168.1.132,53798,22,0,62
1781429871.742899584,192.168.1.132,192.168.1.12,22,53798,156,212
1781429871.784708012,192.168.1.12,192.168.1.132,53798,22,0,62
1781429871.800342058,192.168.1.12,192.168.1.132,53798,22,116,172
1781429871.819033836,192.168.1.132,192.168.1.12,22,53798,100,156
1781429871.833496301,192.168.1.132,192.168.1.12,22,53798,116,172
1781429871.834973293,192.168.1.12,192.168.1.132,53798,22,0,62
1781429871.839942268,192.168.1.12,192.168.1.132,53798,22,108,164
1781429871.850365236,192.168.1.132,192.168.1.12,22,53798,100,156
1781429871.892668615,192.168.1.12,192.168.1.132,53798,22,0,62
1781429872.045887175,100.75.21.72,100.88.89.12,22,55630,52,108
1781429872.145052071,192.168.1.132,192.168.1.12,22,53798,92,148
1781429872.187421161,192.168.1.12,192.168.1.132,53798,22,0,62
1781429872.201973697,192.168.1.12,192.168.1.132,53798,22,100,156
1781429872.213061510,192.168.1.132,192.168.1.12,22,53798,100,156
1781429872.217120288,100.88.89.12,100.75.21.72,55630,22,0,56
1781429872.254492508,192.168.1.12,192.168.1.132,53798,22,0,62
1781429872.344778297,192.168.1.12,192.168.1.132,53798,22,92,148
1781429872.358156748,192.168.1.132,192.168.1.12,22,53798,108,164
1781429872.364390797,192.168.1.12,192.168.1.132,53798,22,92,148
1781429872.376132485,192.168.1.132,192.168.1.12,22,53798,116,172
1781429872.384730133,192.168.1.12,192.168.1.132,53798,22,92,148
1781429872.399060911,192.168.1.132,192.168.1.12,22,53798,100,156
1781429872.402687415,192.168.1.12,192.168.1.132,53798,22,92,148
1781429872.410369799,192.168.1.132,192.168.1.12,22,53798,100,156
1781429872.451907119,192.168.1.12,192.168.1.132,53798,22,0,62
1781429872.656946934,192.168.1.12,192.168.1.132,53798,22,92,148
1781429872.659119233,192.168.1.132,192.168.1.12,22,53798,100,156
1781429872.682137854,192.168.1.132,192.168.1.12,22,53798,100,156
1781429872.685626271,192.168.1.12,192.168.1.132,53798,22,0,62
1781429872.717565670,192.168.1.12,192.168.1.132,53798,22,92,148
1781429872.730977142,192.168.1.132,192.168.1.12,22,53798,100,156
1781429872.775020863,192.168.1.12,192.168.1.132,53798,22,0,62
1781429872.988156606,192.168.1.132,192.168.1.12,22,53798,92,148
1781429873.030216184,192.168.1.12,192.168.1.132,53798,22,0,62
1781429873.098205899,100.65.202.109,100.75.21.72,54275,22,84,140
1781429873.210334557,100.75.21.72,100.65.202.109,22,54275,0,56
1781429873.235153959,192.168.1.132,192.168.1.12,22,53798,92,148
1781429873.276155905,192.168.1.12,192.168.1.132,53798,22,0,62
1781429873.292537450,192.168.1.12,192.168.1.132,53798,22,92,148
1781429873.314066479,192.168.1.132,192.168.1.12,22,53798,156,212
1781429873.327980373,192.168.1.12,192.168.1.132,53798,22,92,148
1781429873.346663126,192.168.1.132,192.168.1.12,22,53798,100,156
1781429873.388196104,192.168.1.12,192.168.1.132,53798,22,0,62
1781429873.456859890,100.88.89.12,100.75.21.72,55630,22,84,140
1781429873.461005728,100.75.21.72,100.88.89.12,22,55630,0,56
1781429873.659269386,192.168.1.12,192.168.1.132,53798,22,92,148
1781429873.667029690,192.168.1.132,192.168.1.12,22,53798,100,156
1781429873.709088790,192.168.1.12,192.168.1.132,53798,22,0,62
1781429873.737347213,192.168.1.132,192.168.1.12,22,53798,100,156
1781429873.778709345,192.168.1.12,192.168.1.132,53798,22,0,62
1781429873.795009139,192.168.1.12,192.168.1.132,53798,22,100,156
1781429873.813165752,192.168.1.132,192.168.1.12,22,53798,100,156
1781429873.857069297,192.168.1.12,192.168.1.132,53798,22,0,62
1781429874.379828158,192.168.1.132,192.168.1.12,22,53798,92,148
1781429874.421648298,192.168.1.12,192.168.1.132,53798,22,0,62
1781429874.436326202,192.168.1.12,192.168.1.132,53798,22,92,148
1781429874.444158849,192.168.1.132,192.168.1.12,22,53798,100,156
1781429874.487221884,192.168.1.12,192.168.1.132,53798,22,0,62
1781429874.656500700,192.168.1.12,192.168.1.132,53798,22,84,140
1781429874.656501011,192.168.1.12,192.168.1.132,53798,22,92,148
1781429874.656937484,192.168.1.132,192.168.1.12,22,53798,0,56
1781429874.664067951,192.168.1.132,192.168.1.12,22,53798,100,156
1781429874.677186347,192.168.1.12,192.168.1.132,53798,22,84,140
1781429874.719999326,192.168.1.132,192.168.1.12,22,53798,0,56
1781429875.248049655,192.168.1.132,192.168.1.12,22,53798,92,148
1781429875.289564811,192.168.1.12,192.168.1.132,53798,22,0,62
1781429875.304208706,192.168.1.12,192.168.1.132,53798,22,92,148
1781429875.304696275,192.168.1.132,192.168.1.12,22,53798,0,56
1781429875.315109969,192.168.1.132,192.168.1.12,22,53798,100,156
1781429875.358166869,192.168.1.12,192.168.1.132,53798,22,0,62
1781429875.775909022,192.168.1.132,192.168.1.12,22,53798,132,188
1781429875.817827695,192.168.1.12,192.168.1.132,53798,22,0,62
1781429875.833447858,192.168.1.12,192.168.1.132,53798,22,124,180
1781429875.854300579,192.168.1.132,192.168.1.12,22,53798,172,228
1781429875.870181570,192.168.1.12,192.168.1.132,53798,22,100,156
1781429875.886657852,192.168.1.132,192.168.1.12,22,53798,100,156
1781429875.930507890,192.168.1.12,192.168.1.132,53798,22,0,62
1781429876.074863321,100.75.21.72,100.65.202.109,22,54275,52,108
1781429876.112681197,192.168.1.132,192.168.1.12,22,53798,92,148
1781429876.154766106,192.168.1.12,192.168.1.132,53798,22,0,62
1781429876.193785809,100.65.202.109,100.75.21.72,54275,22,84,140
1781429876.193842191,100.75.21.72,100.65.202.109,22,54275,0,56
1781429876.203075130,100.75.21.72,100.65.202.109,22,54275,52,108
1781429876.287557161,192.168.1.132,192.168.1.12,22,53798,124,180
1781429876.325029712,100.65.202.109,100.75.21.72,54275,22,0,56
1781429876.330137898,192.168.1.12,192.168.1.132,53798,22,0,62
1781429876.333141518,100.75.21.72,100.65.202.109,22,54275,0,56
1781429876.347182467,192.168.1.12,192.168.1.132,53798,22,108,164
1781429876.353850378,192.168.1.132,192.168.1.12,22,53798,92,148
1781429876.361235527,192.168.1.132,192.168.1.12,22,53798,100,156
1781429876.362158774,192.168.1.12,192.168.1.132,53798,22,92,148
1781429876.362159315,192.168.1.12,192.168.1.132,53798,22,92,148
1781429876.362580826,192.168.1.132,192.168.1.12,22,53798,0,56
1781429876.377542837,192.168.1.132,192.168.1.12,22,53798,116,172
1781429876.380749074,192.168.1.12,192.168.1.132,53798,22,0,62
1781429876.435991264,100.75.21.72,100.88.89.12,22,55630,52,108
1781429876.490469189,100.65.202.109,100.75.21.72,54275,22,0,56
1781429876.609863718,100.88.89.12,100.75.21.72,55630,22,0,56
1781429876.797109454,192.168.1.132,192.168.1.12,22,53798,92,148
1781429876.838687708,192.168.1.12,192.168.1.132,53798,22,0,62
1781429876.854993530,192.168.1.12,192.168.1.132,53798,22,92,148
1781429876.868195444,192.168.1.132,192.168.1.12,22,53798,92,148
1781429876.876601287,192.168.1.132,192.168.1.12,22,53798,100,156
1781429876.880681775,192.168.1.12,192.168.1.132,53798,22,0,62
1781429876.883052908,192.168.1.12,192.168.1.132,53798,22,92,148
1781429876.905329117,192.168.1.132,192.168.1.12,22,53798,100,156
1781429876.949013001,192.168.1.12,192.168.1.132,53798,22,0,62
